ID,Age
1,65
2,18
3,20
4,72
5,35
6,71
7,71
8,64
9,51
10,49
11,36
12,43
13,54
14,59
15,78
16,23
17,30
18,75
19,68
20,40
21,18
22,67
23,25
24,36
25,64
26,59
27,77
28,49
29,18
30,79
31,52
32,18
33,71
34,62
35,66
36,39
37,20
38,32
39,51
40,45
41,47
42,35
43,60
44,52
45,62
46,47
47,19
48,33
49,29
50,58
51,22
52,76
53,41
54,34
55,38
56,74
57,34
58,65
59,20
60,66
61,25
62,49
63,50
64,66
65,26
66,50
67,53
68,78
69,48
70,80
71,57
72,19
73,64
74,56
75,26
76,18
77,36
78,73
79,31
80,75
81,65
82,38
83,42
84,67
85,68
86,52
87,59
88,24
89,54
90,25
91,62
92,78
93,78
94,46
95,66
96,76
97,59
98,63
99,78
100,41
101,31
102,47
103,52
104,17
105,26
106,31
107,47
108,37
109,52
110,38
111,24
112,51
113,20
114,53
115,27
116,64
117,44
118,70
119,48
120,54
121,71
122,37
123,53
124,68
125,41
126,50
127,78
128,38
129,76
130,46
131,31
132,28
133,21
134,68
135,63
136,67
137,33
138,69
139,50
140,74
141,74
142,52
143,17
144,36
145,20
146,54
147,53
148,29
149,19
150,26
151,41
152,78
153,48
154,77
155,46
156,27
157,76
158,73
159,41
160,59
161,43
162,22
163,19
164,80
165,74
166,34
167,36
168,78
169,70
170,76
171,38
172,42
173,35
174,70
175,57
176,48
177,35
178,42
179,62
180,69
181,72
182,21
183,52
184,77
185,21
186,52
187,60
188,54
189,29
190,60
191,74
192,20
193,74
194,64
195,35
196,69
197,45
198,30
199,74
200,55
201,22
202,58
203,22
204,78
205,59
206,36
207,17
208,76
209,43
210,80
211,65
212,29
213,62
214,20
215,33
216,61
217,23
218,79
219,73
220,75
221,56
222,80
223,53
224,40
225,33
226,80
227,74
228,53
229,45
230,76
231,40
232,54
233,78
234,47
235,45
236,21
237,43
238,37
239,71
240,77
241,42
242,26
243,50
244,77
245,56
246,49
247,41
248,66
249,76
250,78
251,66
252,54
253,20
254,42
255,80
256,51
257,23
258,30
259,50
260,44
261,39
262,76
263,41
264,67
265,27
266,50
267,45
268,71
269,63
270,17
271,36
272,49
273,51
274,30
275,46
276,65
277,56
278,76
279,45
280,53
281,51
282,62
283,21
284,64
285,36
286,78
287,71
288,50
289,65
290,37
291,31
292,45
293,47
294,58
295,68
296,26
297,21
298,77
299,37
300,25
301,39
302,67
303,24
304,48
305,21
306,43
307,58
308,23
309,80
310,45
311,39
312,24
313,63
314,31
315,27
316,53
317,37
318,69
319,18
320,48
321,61
322,59
323,45
324,32
325,44
326,31
327,59
328,53
329,30
330,35
331,52
332,36
333,57
334,29
335,44
336,47
337,69
338,58
339,20
340,21
341,33
342,23
343,68
344,32
345,68
346,55
347,68
348,42
349,59
350,25
351,50
352,43
353,38
354,62
355,58
356,28
357,80
358,40
359,56
360,57
361,24
362,58
363,18
364,17
365,26
366,24
367,51
368,73
369,70
370,30
371,32
372,59
373,47
374,45
375,80
376,75
377,54
378,27
379,54
380,66
381,48
382,26
383,43
384,72
385,38
386,35
387,39
388,74
389,74
390,18
391,18
392,35
393,49
394,52
395,55
396,37
397,34
398,78
399,22
400,43
401,18
402,65
403,46
404,68
405,54
406,66
407,62
408,78
409,70
410,72
411,23
412,23
413,76
414,56
415,53
416,33
417,68
418,51
419,27
420,80
421,70
422,52
423,53
424,59
425,62
426,62
427,67
428,57
429,56
430,55
431,32
432,29
433,62
434,46
435,41
436,32
437,30
438,74
439,57
440,19
441,20
442,51
443,35
444,39
445,72
446,60
447,41
448,71
449,22
450,47
451,47
452,36
453,19
454,27
455,19
456,56
457,28
458,80
459,79
460,40
461,20
462,74
463,52
464,78
465,26
466,51
467,44
468,46
469,34
470,48
471,34
472,36
473,73
474,59
475,45
476,73
477,63
478,80
479,42
480,48
481,46
482,35
483,79
484,58
485,39
486,69
487,18
488,43
489,17
490,69
491,31
492,71
493,21
494,42
495,35
496,65
497,43
498,74
499,59
500,45
501,74
502,28
503,43
504,48
505,31
506,53
507,29
508,46
509,48
510,55
511,37
512,25
513,43
514,44
515,24
516,69
517,54
518,57
519,20
520,76
521,36
