shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil,723
burgers,meatballs,eggs,,,,,,,,,,,,,,,,,,873
chutney,,,,,,,,,,,,,,,,,,,,226
turkey,avocado,,,,,,,,,,,,,,,,,,,572
mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,,322
low fat yogurt,,,,,,,,,,,,,,,,,,,,324
whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,,726
soup,light cream,shallot,,,,,,,,,,,,,,,,,,785
frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,,448
french fries,,,,,,,,,,,,,,,,,,,,451
eggs,pet food,,,,,,,,,,,,,,,,,,,104
cookies,,,,,,,,,,,,,,,,,,,,284
turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,,59
spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,,155
mineral water,salmon,,,,,,,,,,,,,,,,,,,772
mineral water,,,,,,,,,,,,,,,,,,,,593
shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,,228
turkey,eggs,,,,,,,,,,,,,,,,,,,462
turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,,673
meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,,730
red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,,526
rice,sparkling water,,,,,,,,,,,,,,,,,,,622
spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,,854
burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,,626
eggs,,,,,,,,,,,,,,,,,,,,355
parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,,920
ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,,860
sparkling water,,,,,,,,,,,,,,,,,,,,288
mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,,767
frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,,168
herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,,258
mineral water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,,478
turkey,french fries,strawberries,,,,,,,,,,,,,,,,,,89
frozen vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,,903
cookies,,,,,,,,,,,,,,,,,,,,905
pickles,spaghetti,salmon,escalope,,,,,,,,,,,,,,,,,634
energy bar,french fries,,,,,,,,,,,,,,,,,,,923
red wine,ground beef,mineral water,,,,,,,,,,,,,,,,,,382
mineral water,cake,cottage cheese,,,,,,,,,,,,,,,,,,252
pickles,champagne,green tea,,,,,,,,,,,,,,,,,,110
spaghetti,,,,,,,,,,,,,,,,,,,,534
fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope,,,,,,,,,,,,,843
spaghetti,,,,,,,,,,,,,,,,,,,,646
soup,meatballs,hot dogs,sparkling water,,,,,,,,,,,,,,,,,822
escalope,,,,,,,,,,,,,,,,,,,,129
soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,,444
mineral water,chicken,cereals,clothes accessories,,,,,,,,,,,,,,,,,752
mineral water,bug spray,,,,,,,,,,,,,,,,,,,628
avocado,muffins,,,,,,,,,,,,,,,,,,,625
burgers,black tea,green tea,,,,,,,,,,,,,,,,,,125
spaghetti,chocolate,brownies,white wine,green tea,,,,,,,,,,,,,,,,880
fresh tuna,mineral water,eggs,,,,,,,,,,,,,,,,,,730
spaghetti,muffins,,,,,,,,,,,,,,,,,,,857
spaghetti,chocolate,,,,,,,,,,,,,,,,,,,653
french fries,escalope,champagne,,,,,,,,,,,,,,,,,,267
tomato sauce,light mayo,,,,,,,,,,,,,,,,,,,657
