133,shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
195,burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
36,chutney,,,,,,,,,,,,,,,,,,,
124,turkey,avocado,,,,,,,,,,,,,,,,,,
63,mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,
32,low fat yogurt,,,,,,,,,,,,,,,,,,,
62,whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,
181,soup,light cream,shallot,,,,,,,,,,,,,,,,,
145,frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
70,french fries,,,,,,,,,,,,,,,,,,,
180,eggs,pet food,,,,,,,,,,,,,,,,,,
106,cookies,,,,,,,,,,,,,,,,,,,
94,turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
78,spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
139,mineral water,salmon,,,,,,,,,,,,,,,,,,
193,mineral water,,,,,,,,,,,,,,,,,,,
42,shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
191,turkey,eggs,,,,,,,,,,,,,,,,,,
24,turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,
199,meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,
184,red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
70,rice,sparkling water,,,,,,,,,,,,,,,,,,
111,spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
64,burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,
33,eggs,,,,,,,,,,,,,,,,,,,
165,parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,
142,ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,
6,sparkling water,,,,,,,,,,,,,,,,,,,
98,mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,
32,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
70,herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,
